code,constructorRef,circuit,gp,raceid,position,tm,ms,seconds,lap,stop,duration,box_time,box_seconds,accumulated,stint,compound,distance,stint_lap,stint_distance
ALB,red_bull,Autódromo Internacional do Algarve,Portuguese Grand Prix,1042,11,1:26.173,86173,86,3,,,,,191606,1,C3,13.959,3,13.959
ALB,red_bull,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,1043,7,1:21.611,81611,81,3,,,,,170035,1,C4,14.727,3,14.727
ALB,red_bull,Istanbul Park,Turkish Grand Prix,1044,5,1:57.469,117469,117,3,,,,,249640,1,WET,16.014,3,16.014
ALB,red_bull,Yas Marina Circuit,Abu Dhabi Grand Prix,1047,5,1:43.941,103941,103,3,,,,,212885,1,C5,16.662,3,16.662
ALB,red_bull,Bahrain International Circuit,Sakhir Grand Prix,1046,12,1:29.894,89894,89,4,,,,,276083,1,C3,14.172,4,14.172
ALB,red_bull,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.853,69853,69,4,,,,,215045,1,C4,17.272,4,17.272
ALB,red_bull,Red Bull Ring,Styrian Grand Prix,1032,5,1:11.008,71008,71,4,,,,,313612,1,C4,17.272,4,17.272
ALB,red_bull,Hungaroring,Hungarian Grand Prix,1033,14,1:51.950,111950,111,4,,,,,401521,2,C3,17.524,1,4.381
ALB,red_bull,Silverstone Circuit,British Grand Prix,1034,12,2:34.515,154515,154,4,,,,,385780,1,C2,23.564,4,23.564
ALB,red_bull,Silverstone Circuit,70th Anniversary Grand Prix,1035,9,1:33.617,93617,93,4,,,,,287804,1,C3,23.564,4,23.564
ALB,red_bull,Circuit de Barcelona-Catalunya,Spanish Grand Prix,1036,6,1:25.230,85230,85,4,,,,,261848,1,C3,18.62,4,18.62
ALB,red_bull,Circuit de Spa-Francorchamps,Belgian Grand Prix,1037,6,1:51.761,111761,111,4,,,,,340809,1,C4,28.016,4,28.016
ALB,red_bull,Autodromo Nazionale di Monza,Italian Grand Prix,1038,14,1:26.472,86472,86,4,,,,,270210,1,C4,23.172,4,23.172
ALB,red_bull,Autodromo Internazionale del Mugello,Tuscan Grand Prix,1039,4,2:14.650,134650,134,4,,,,,395651,1,C4,20.98,4,20.98
ALB,red_bull,Sochi Autodrom,Russian Grand Prix,1040,17,2:50.956,170956,170,4,,,,,667745,2,C3,23.392,3,17.544
ALB,red_bull,Nürburgring,Eifel Grand Prix,1041,6,1:34.331,94331,94,4,,,,,288415,1,C4,20.592,4,20.592
ALB,red_bull,Autódromo Internacional do Algarve,Portuguese Grand Prix,1042,11,1:24.409,84409,84,4,,,,,277779,1,C3,18.612,4,18.612
ALB,red_bull,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,1043,7,1:20.812,80812,80,4,,,,,251646,1,C4,19.636,4,19.636
ALB,red_bull,Istanbul Park,Turkish Grand Prix,1044,5,1:54.568,114568,114,4,,,,,367109,1,WET,21.352,4,21.352
ALB,red_bull,Yas Marina Circuit,Abu Dhabi Grand Prix,1047,5,1:44.029,104029,104,4,,,,,316826,1,C5,22.216,4,22.216
ALB,red_bull,Bahrain International Circuit,Sakhir Grand Prix,1046,11,1:32.214,92214,92,5,,,,,365977,1,C3,17.715,5,17.715
ALB,red_bull,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.412,69412,69,5,,,,,284898,1,C4,21.59,5,21.59
ALB,red_bull,Red Bull Ring,Styrian Grand Prix,1032,5,1:10.745,70745,70,5,,,,,384620,1,C4,21.59,5,21.59
ALB,red_bull,Hungaroring,Hungarian Grand Prix,1033,9,1:28.886,88886,88,5,,,,,513471,2,C3,21.905,2,8.762
ALB,red_bull,Silverstone Circuit,British Grand Prix,1034,12,2:08.780,128780,128,5,,,,,540295,1,C2,29.455,5,29.455
ALB,red_bull,Silverstone Circuit,70th Anniversary Grand Prix,1035,9,1:33.703,93703,93,5,,,,,381421,1,C3,29.455,5,29.455
ALB,red_bull,Circuit de Barcelona-Catalunya,Spanish Grand Prix,1036,6,1:25.347,85347,85,5,,,,,347078,1,C3,23.275,5,23.275
ALB,red_bull,Circuit de Spa-Francorchamps,Belgian Grand Prix,1037,6,1:51.417,111417,111,5,,,,,452570,1,C4,35.02,5,35.02
ALB,red_bull,Autodromo Nazionale di Monza,Italian Grand Prix,1038,14,1:26.159,86159,86,5,,,,,356682,1,C4,28.965,5,28.965
ALB,red_bull,Autodromo Internazionale del Mugello,Tuscan Grand Prix,1039,4,2:13.442,133442,133,5,,,,,530301,1,C4,26.225,5,26.225
ALB,red_bull,Sochi Autodrom,Russian Grand Prix,1040,17,2:38.283,158283,158,5,,,,,838701,2,C3,29.24,4,23.392
ALB,red_bull,Nürburgring,Eifel Grand Prix,1041,6,1:34.194,94194,94,5,,,,,382746,1,C4,25.74,5,25.74
ALB,red_bull,Autódromo Internacional do Algarve,Portuguese Grand Prix,1042,11,1:23.858,83858,83,5,,,,,362188,1,C3,23.265,5,23.265
ALB,red_bull,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,1043,7,1:20.772,80772,80,5,,,,,332458,1,C4,24.545,5,24.545
ALB,red_bull,Istanbul Park,Turkish Grand Prix,1044,5,1:53.656,113656,113,5,,,,,481677,1,WET,26.69,5,26.69
ALB,red_bull,Yas Marina Circuit,Abu Dhabi Grand Prix,1047,5,1:44.076,104076,104,5,,,,,420855,1,C5,27.77,5,27.77
ALB,red_bull,Bahrain International Circuit,Sakhir Grand Prix,1046,11,1:14.614,74614,74,6,,,,,458191,1,C3,21.258,6,21.258
ALB,red_bull,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.525,69525,69,6,,,,,354310,1,C4,25.908,6,25.908
ALB,red_bull,Red Bull Ring,Styrian Grand Prix,1032,5,1:10.549,70549,70,6,,,,,455365,1,C4,25.908,6,25.908
ALB,red_bull,Hungaroring,Hungarian Grand Prix,1033,9,1:25.890,85890,85,6,,,,,602357,2,C3,26.286,3,13.143
ALB,red_bull,Silverstone Circuit,British Grand Prix,1034,13,1:35.837,95837,95,6,1,28.834,28834,28,669075,1,C2,35.346,6,35.346
ALB,red_bull,Silverstone Circuit,70th Anniversary Grand Prix,1035,9,1:33.049,93049,93,6,1,28.417,28417,28,475124,1,C3,35.346,6,35.346
ALB,red_bull,Circuit de Barcelona-Catalunya,Spanish Grand Prix,1036,6,1:25.181,85181,85,6,,,,,432425,1,C3,27.93,6,27.93
ALB,red_bull,Circuit de Spa-Francorchamps,Belgian Grand Prix,1037,6,1:51.529,111529,111,6,,,,,563987,1,C4,42.024,6,42.024
ALB,red_bull,Autodromo Nazionale di Monza,Italian Grand Prix,1038,14,1:26.590,86590,86,6,,,,,442841,1,C4,34.758,6,34.758
ALB,red_bull,Autodromo Internazionale del Mugello,Tuscan Grand Prix,1039,4,2:19.882,139882,139,6,,,,,663743,1,C4,31.47,6,31.47
ALB,red_bull,Sochi Autodrom,Russian Grand Prix,1040,18,1:46.544,106544,106,6,,,,,996984,2,C3,35.088,5,29.24
ALB,red_bull,Nürburgring,Eifel Grand Prix,1041,6,1:34.119,94119,94,6,,,,,476940,1,C4,30.888,6,30.888
ALB,red_bull,Autódromo Internacional do Algarve,Portuguese Grand Prix,1042,11,1:23.331,83331,83,6,,,,,446046,1,C3,27.918,6,27.918
ALB,red_bull,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,1043,7,1:20.680,80680,80,6,,,,,413230,1,C4,29.454,6,29.454
ALB,red_bull,Istanbul Park,Turkish Grand Prix,1044,5,1:53.544,113544,113,6,,,,,595333,1,WET,32.028,6,32.028
ALB,red_bull,Yas Marina Circuit,Abu Dhabi Grand Prix,1047,4,1:42.885,102885,102,6,,,,,524931,1,C5,33.324,6,33.324
ALB,red_bull,Bahrain International Circuit,Sakhir Grand Prix,1046,11,1:00.507,60507,60,7,,,,,532805,1,C3,24.801,7,24.801
ALB,red_bull,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.808,69808,69,7,,,,,423835,1,C4,30.226,7,30.226
ALB,red_bull,Red Bull Ring,Styrian Grand Prix,1032,5,1:10.405,70405,70,7,,,,,525914,1,C4,30.226,7,30.226
