DriverNumber,LapNumber,soft_compound,medium_compound,hard_compound,tyrelife,last_lap_delta,faster_than_last,faster_than_avg,rolling_lt_avg,rolling_fastest_lap,faster_than_avg,new_fastest_l,new_fastest_l_sum,faster_avg_sum,faster_last_sum,laptime
77,5,1,0,0,9.0,-0.986000000000004,1,1,109.647,109.208,1,1,3,3,3,108.222
77,6,1,0,0,10.0,0.113,0,1,109.29075,108.222,1,0,3,4,3,108.335
77,7,1,0,0,11.0,0.542000000000002,0,1,109.0996,108.222,1,0,3,5,3,108.877
77,8,1,0,0,12.0,-0.458999999999989,1,1,109.0625,108.222,1,0,3,6,4,108.418
77,9,1,0,0,13.0,-0.284000000000006,1,1,108.970428571429,108.222,1,1,4,7,5,108.134
77,10,1,0,0,14.0,0.191999999999993,0,1,108.865875,108.134,1,0,4,8,5,108.326
77,11,1,0,0,15.0,3.84500000000001,0,0,108.805888888889,108.134,0,0,4,8,5,112.171
99,3,0,0,1,1.0,10.277,0,0,115.997,115.997,0,0,0,0,0,126.274
99,4,0,0,1,2.0,-17.438,1,1,121.1355,115.997,1,1,1,1,1,108.836
99,5,0,0,1,3.0,-0.244,1,1,117.035666666667,108.836,1,1,2,2,2,108.592
99,6,0,0,1,4.0,0.192000000000007,0,1,114.92475,108.592,1,0,2,3,2,108.784
99,7,0,0,1,5.0,-0.0810000000000031,1,1,113.6966,108.592,1,0,2,4,3,108.703
99,8,0,0,1,6.0,-0.0630000000000024,1,1,112.864333333333,108.592,1,0,2,5,4,108.64
99,9,0,0,1,7.0,-0.402000000000001,1,1,112.260857142857,108.592,1,1,3,6,5,108.238
99,10,0,0,1,8.0,0.0690000000000026,0,1,111.758,108.238,1,0,3,7,5,108.307
99,11,0,0,1,9.0,0.891999999999996,0,1,111.374555555556,108.238,1,0,3,8,5,109.199
