LapNumber,soft_compound,medium_compound,hard_compound,tyrelife,last_lap_delta,rolling_lt_avg,rolling_fastest_lap,faster_than_avg,new_fastest_lap,laptime
46,1,0,0,14,-0.541,110.7529268,105.624,1,0,106.73
47,1,0,0,15,31.661,110.6571429,105.624,0,0,138.391
50,1,0,0,18,6.619,111.3021163,105.624,0,0,145.01
51,1,0,0,19,-39.295,112.0682045,105.624,1,0,105.715
3,1,0,0,6,-0.926,109.672,109.672,1,1,108.746
4,1,0,0,7,-1.146,109.209,108.746,1,1,107.6
5,1,0,0,8,-0.34,108.6726667,107.6,1,1,107.26
6,1,0,0,9,0.703,108.3195,107.26,1,0,107.963
7,1,0,0,10,0.648,108.2482,107.26,0,0,108.611
8,1,0,0,11,0.11,108.3086667,107.26,0,0,108.721
9,1,0,0,12,3.102,108.3675714,107.26,0,0,111.823
36,0,0,1,53,-26.574,109.1834333,106.178,0,0,112.944
37,0,0,1,54,-5.281,109.3047419,106.178,1,0,107.663
38,0,0,1,55,-0.777,109.2534375,106.178,1,0,106.886
39,0,0,1,56,-1.081,109.181697,106.178,1,1,105.805
40,0,0,1,57,-0.052,109.0823824,105.805,1,1,105.753
41,0,0,1,58,-0.021,108.9872571,105.753,1,1,105.732
42,0,0,1,59,-0.02,108.8968333,105.732,1,1,105.712
43,0,0,1,60,-0.118,108.8107568,105.712,1,1,105.594
44,0,0,1,61,0.186,108.7261053,105.594,1,0,105.78
45,0,0,1,62,-0.242,108.6505641,105.594,1,1,105.538
46,0,0,1,63,-0.156,108.57275,105.538,1,1,105.382
47,0,0,1,64,27.956,108.4949268,105.382,0,0,133.338
51,1,0,0,5,-26.646,109.0864286,105.382,1,0,106.692
3,0,0,1,3,-1.863,111.395,111.395,1,1,109.532
4,0,0,1,4,-0.621,110.4635,109.532,1,1,108.911
5,0,0,1,5,-0.049,109.946,108.911,1,1,108.862
6,0,0,1,6,-0.353,109.675,108.862,1,1,108.509
7,0,0,1,7,-0.276,109.4418,108.509,1,1,108.233
8,0,0,1,8,0.082,109.2403333,108.233,1,0,108.315
9,0,0,1,9,-0.308,109.1081429,108.233,1,1,108.007
10,0,0,1,10,0.175,108.9705,108.007,1,0,108.182
11,0,0,1,11,-0.096,108.8828889,108.007,1,0,108.086
