,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
452,0 days 00:51:09.908000,14,0 days 00:01:49.202000,21.0,2.0,,,0 days 00:00:38.689000,0 days 00:00:44,0 days 00:00:26.513000,0 days 00:49:59.395000,0 days 00:50:43.395000,0 days 00:51:09.908000,200.0,197.0,307.0,303.0,SOFT,20.0,True,0 days 00:49:20.706000,McLaren,ALO,1,True,2018-04-29 12:55:20.783
453,0 days 00:52:58.330000,14,0 days 00:01:48.422000,22.0,2.0,,,0 days 00:00:38.374000,0 days 00:00:43.652000,0 days 00:00:26.396000,0 days 00:51:48.282000,0 days 00:52:31.934000,0 days 00:52:58.330000,201.0,204.0,307.0,303.0,SOFT,21.0,True,0 days 00:51:09.908000,McLaren,ALO,1,True,2018-04-29 12:57:09.985
454,0 days 00:54:47.839000,14,0 days 00:01:49.509000,23.0,2.0,,,0 days 00:00:39.190000,0 days 00:00:43.878000,0 days 00:00:26.441000,0 days 00:53:37.520000,0 days 00:54:21.398000,0 days 00:54:47.839000,198.0,200.0,315.0,309.0,SOFT,22.0,True,0 days 00:52:58.330000,McLaren,ALO,1,True,2018-04-29 12:58:58.407
455,0 days 00:56:37.592000,14,0 days 00:01:49.753000,24.0,2.0,,,0 days 00:00:38.513000,0 days 00:00:44.100000,0 days 00:00:27.140000,0 days 00:55:26.352000,0 days 00:56:10.452000,0 days 00:56:37.592000,194.0,204.0,308.0,306.0,SOFT,23.0,True,0 days 00:54:47.839000,McLaren,ALO,1,True,2018-04-29 13:00:47.916
456,0 days 00:58:26.803000,14,0 days 00:01:49.211000,25.0,2.0,,,0 days 00:00:38.785000,0 days 00:00:44.001000,0 days 00:00:26.425000,0 days 00:57:16.377000,0 days 00:58:00.378000,0 days 00:58:26.803000,205.0,204.0,308.0,304.0,SOFT,24.0,True,0 days 00:56:37.592000,McLaren,ALO,1,True,2018-04-29 13:02:37.669
457,0 days 01:00:16.482000,14,0 days 00:01:49.679000,26.0,2.0,,,0 days 00:00:39.203000,0 days 00:00:44.191000,0 days 00:00:26.285000,0 days 00:59:06.006000,0 days 00:59:50.197000,0 days 01:00:16.482000,194.0,200.0,311.0,307.0,SOFT,25.0,True,0 days 00:58:26.803000,McLaren,ALO,1,True,2018-04-29 13:04:26.880
458,0 days 01:02:05.059000,14,0 days 00:01:48.577000,27.0,2.0,,,0 days 00:00:38.337000,0 days 00:00:43.814000,0 days 00:00:26.426000,0 days 01:00:54.819000,0 days 01:01:38.633000,0 days 01:02:05.059000,199.0,203.0,309.0,306.0,SOFT,26.0,True,0 days 01:00:16.482000,McLaren,ALO,1,True,2018-04-29 13:06:16.559
459,0 days 01:03:58.892000,14,0 days 00:01:53.833000,28.0,2.0,,,0 days 00:00:43.408000,0 days 00:00:44.039000,0 days 00:00:26.386000,0 days 01:02:48.467000,0 days 01:03:32.506000,0 days 01:03:58.892000,192.0,204.0,310.0,307.0,SOFT,27.0,True,0 days 01:02:05.059000,McLaren,ALO,1,True,2018-04-29 13:08:05.136
460,0 days 01:05:47.109000,14,0 days 00:01:48.217000,29.0,2.0,,,0 days 00:00:38.222000,0 days 00:00:43.746000,0 days 00:00:26.249000,0 days 01:04:37.114000,0 days 01:05:20.860000,0 days 01:05:47.109000,203.0,207.0,310.0,307.0,SOFT,28.0,True,0 days 01:03:58.892000,McLaren,ALO,1,True,2018-04-29 13:09:58.969
461,0 days 01:07:34.946000,14,0 days 00:01:47.837000,30.0,2.0,,,0 days 00:00:38.007000,0 days 00:00:43.564000,0 days 00:00:26.266000,0 days 01:06:25.116000,0 days 01:07:08.680000,0 days 01:07:34.946000,194.0,208.0,310.0,304.0,SOFT,29.0,True,0 days 01:05:47.109000,McLaren,ALO,1,True,2018-04-29 13:11:47.186
462,0 days 01:09:22.708000,14,0 days 00:01:47.762000,31.0,2.0,,,0 days 00:00:37.848000,0 days 00:00:43.497000,0 days 00:00:26.417000,0 days 01:08:12.794000,0 days 01:08:56.291000,0 days 01:09:22.708000,200.0,200.0,309.0,305.0,SOFT,30.0,True,0 days 01:07:34.946000,McLaren,ALO,1,True,2018-04-29 13:13:35.023
463,0 days 01:11:10.157000,14,0 days 00:01:47.449000,32.0,2.0,,,0 days 00:00:37.867000,0 days 00:00:43.282000,0 days 00:00:26.300000,0 days 01:10:00.575000,0 days 01:10:43.857000,0 days 01:11:10.157000,205.0,203.0,309.0,305.0,SOFT,31.0,True,0 days 01:09:22.708000,McLaren,ALO,1,True,2018-04-29 13:15:22.785
464,0 days 01:12:58.839000,14,0 days 00:01:48.682000,33.0,2.0,,,0 days 00:00:38.542000,0 days 00:00:43.736000,0 days 00:00:26.404000,0 days 01:11:48.699000,0 days 01:12:32.435000,0 days 01:12:58.839000,204.0,201.0,309.0,303.0,SOFT,32.0,True,0 days 01:11:10.157000,McLaren,ALO,1,True,2018-04-29 13:17:10.234
465,0 days 01:14:46.857000,14,0 days 00:01:48.018000,34.0,2.0,,,0 days 00:00:38.012000,0 days 00:00:43.532000,0 days 00:00:26.474000,0 days 01:13:36.851000,0 days 01:14:20.383000,0 days 01:14:46.857000,199.0,201.0,308.0,304.0,SOFT,33.0,True,0 days 01:12:58.839000,McLaren,ALO,1,True,2018-04-29 13:18:58.916
