DriverNumber,Driver,LapNumber,TotalLaps,LapsRemain,LapTime,Seconds,FuelMultiplier,FB_y,FuelBurnConstant,Adj_FB,Adj_LapTime_FB,quali_delta,Stint,Compound_Label,Compound,TyreLife,TyreLife_perc,FreshTyre,LapStartTime,Team,TrackStatus,LapStartDate,ahead,gap_ahead,race,fq
10,GAS,13,56,43,01:45.0,104.982,1.763,0.62,0.041,102.599,103.219,8.481,2,C2,HARD,3,5.357142857,TRUE,0 days 01:23:52.191000,AlphaTauri,1,24:53.9,24:52.4,1.569,us,94.118
18,STR,22,66,44,01:28.9,88.864,1.804,0.62,0.041,86.44,87.06,8.466,1,C3,SOFT,22,33.33333333,TRUE,0 days 01:04:49.848000,Aston Martin,1,34:49.9,34:46.8,3.042,spain,77.974
10,GAS,39,56,17,01:39.6,99.587,0.697,0.62,0.041,98.27,98.89,8.461,3,C3,MEDIUM,23,41.07142857,FALSE,0 days 01:42:18.489000,AlphaTauri,1,12:18.5,12:04.5,13.985,bahrain,89.809
11,PER,26,71,45,01:15.1,75.077,1.845,0.62,0.041,72.612,73.232,8.444,1,C4,SOFT,29,40.84507042,FALSE,0 days 01:02:34.743000,Red Bull,1,32:34.8,32:19.1,15.674,austria,64.168
99,GIO,14,53,39,01:42.5,102.464,1.599,0.62,0.041,100.245,100.865,8.432,1,C2,HARD,14,26.41509434,TRUE,55:35.4,Alfa Romeo,1,25:35.5,25:34.3,1.157,france,91.813
10,GAS,23,53,30,01:41.1,101.144,1.23,0.62,0.041,99.294,99.914,8.426,2,C2,HARD,6,11.32075472,TRUE,0 days 01:10:52.587000,AlphaTauri,1,40:52.6,40:52.0,0.567,france,90.868
63,RUS,3,53,50,01:43.2,103.16,2.05,0.62,0.041,100.49,101.11,8.425,1,C3,MEDIUM,3,5.660377358,TRUE,37:06.2,Williams,1,07:06.2,07:05.5,0.663,france,92.065
31,OCO,47,53,6,01:41.0,101.021,0.246,0.62,0.041,100.155,100.775,8.419,2,C3,MEDIUM,22,41.50943396,FALSE,0 days 01:51:06.812000,Alpine F1 Team,1,21:06.8,21:04.5,2.316,france,91.736
11,PER,49,53,4,01:39.6,99.64,0.164,0.62,0.041,98.856,99.476,8.411,2,C2,HARD,25,47.16981132,TRUE,0 days 01:52:52.657000,Red Bull,1,22:52.7,22:52.0,0.697,france,90.445
31,OCO,62,66,4,01:26.8,86.775,0.164,0.62,0.041,85.991,86.611,8.411,2,C2,MEDIUM,39,59.09090909,TRUE,0 days 02:01:19.171000,Alpine F1 Team,1,31:19.2,31:15.6,3.598,spain,77.58
