code,circuit,gp,raceid,position,tm,ms,lap,box,accumulated
ALB,Hungaroring,Hungarian Grand Prix,1033,8,1:20.610,80610,38,,3377298
ALB,Hungaroring,Hungarian Grand Prix,1033,8,1:20.703,80703,39,,3457908
ALB,Hungaroring,Hungarian Grand Prix,1033,8,1:20.415,80415,40,,3538611
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:20.264,80264,41,,3619026
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:20.336,80336,42,,3699290
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:21.087,81087,43,,3779626
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.511,80511,44,,3860713
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.305,80305,45,,3941224
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.346,80346,46,,4021529
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.578,80578,47,,4101875
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.368,80368,48,,4182453
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.510,80510,49,,4262821
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.271,80271,50,,4343331
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.295,80295,51,,4423602
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.843,80843,52,,4503897
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:21.025,81025,53,,4584740
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.788,80788,54,,4665765
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:21.520,81520,55,,4746553
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:22.337,82337,56,,4828073
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.740,80740,57,,4910410
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.489,80489,58,,4991150
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.744,80744,59,,5071639
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.539,80539,60,,5152383
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.804,80804,61,,5232922
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.436,80436,62,,5313726
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.916,80916,63,,5394162
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.760,80760,64,,5475078
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:20.536,80536,65,,5555838
ALB,Hungaroring,Hungarian Grand Prix,1033,5,1:19.488,79488,66,,5636374
ALB,Hungaroring,Hungarian Grand Prix,1033,5,1:19.617,79617,67,,5715862
ALB,Hungaroring,Hungarian Grand Prix,1033,5,1:19.440,79440,68,,5795479
ALB,Hungaroring,Hungarian Grand Prix,1033,5,1:20.159,80159,69,,5874919
ALB,Hungaroring,Hungarian Grand Prix,1033,5,1:20.549,80549,70,,5955078
ALB,Silverstone Circuit,British Grand Prix,1034,12,1:43.077,103077,1,,
ALB,Silverstone Circuit,British Grand Prix,1034,12,2:12.634,132634,2,,103077
ALB,Silverstone Circuit,British Grand Prix,1034,12,2:30.069,150069,3,,235711
ALB,Silverstone Circuit,British Grand Prix,1034,12,2:34.515,154515,4,,385780
